claimID,corridor,subjectSite,evidencetype,quote,chapter,page,notes
R01,N (Kamo–Kitayama),Home of the Bishop of Kitayama,TEXTUAL_DIRECT,The temple was located a short distance away in the recesses of the mountains north of the capital.,5,84,Direction (north) plus a distance cue ('a short distance away').
R02,N (Kamo–Kitayama),The Urin'in Temple (north of the capital),TEXTUAL_DIRECT,...he decided to go on an excursion to view autumn fields and to pay a call on the Urin'in Temple north of the capital.,10,206,Historical temple (Murasakino district); real-site coordinates verifiable externally.
R03,N (Kamo–Kitayama),The Kamo Shrine,TEXTUAL_DIRECT,The Kamo Shrine was close enough to the Urin'in that a breeze might have been able to carry a message...,10,207,Chains the two northern stations at minimal separation.
R04,N (Kamo–Kitayama),The Retired Emperor's tomb (hills north of the capital),TEXTUAL_DIRECT,On the eve of his departure Genji set out at dusk for the hills north of the capital to visit the grave of his father.,12,232,Northern terminus of the pre-exile leave-taking circuit.
R05,NE (Ono–Hiei–Yokawa),Mount Hiei,TRANSLATOR_NOTE,"Mount Hiei is located northeast of Kyoto. Northeast was considered a permanently unlucky direction... (Ch53, p.1120, translator's note; similarly Ch2, p.20, note).",53,1120,Real mountain; fixed anchor for the NE corridor.
R06,NE (Ono–Hiei–Yokawa),The Ono villa (Ch39) / The nuns' residence at Ono (Ch53–54),TEXTUAL_DIRECT,"...because Ono was near the foot of Mount Hiei, he agreed to... (Ch39, p.717); Since the nuns resided in Ono on the lower slopes of Mount Hiei, their journey was a long one (Ch53, p.1127).",39,717,"Both Ono residences hang on the Hiei foothill node; keep as two stations, one node."
R07,NE (Ono–Hiei–Yokawa),The nuns' residence at Ono,TEXTUAL_DIRECT,"When the First Princess had completely recovered, the bishop returned to Yokawa. On the way he dropped by the residence in Ono... (p.1156); The only residents at Ono with any contact with the outside were those who traveled to and from Yokawa (Ch54, p.1170).",53,1156,"Also: a hunting party 'heading up Mount Hiei' passes the residence, though 'it was unusual for anyone to travel along the path that ran past the residence' (Ch53, p.1156)."
R08,NE (Ono–Hiei–Yokawa),Yokawa (the Bishop's temple),TEXTUAL_DIRECT,"...an exceptionally pious priest residing at Yokawa on Mount Hiei (Ch53, p.1120); Kaoru traveled to the main temple on Mount Hiei... The following day he moved on to the temple at Yokawa... a temple located in the recesses of Mount Hiei (Ch54, p.1166).",53,1120,"Ordering: main temple first, Yokawa deeper — a two-stop sequence on the mountain. Yokawa/Enryakuji are real (coordinates verifiable)."
R09,NE×SE (inter-corridor),Ono ↔ Uji,TEXTUAL_DIRECT,"Since the nuns resided in Ono on the lower slopes of Mount Hiei, their journey was a long one.",53,1127,Keeps the NE and SE corridor termini well separated on the map.
R10,E (Ōsaka–Ishiyama),"The Ōsaka Barrier (both labels, rows 94/124)",TRANSLATOR_NOTE,The pass is located between the capital and Lake Biwa to the east and was crossed by the main road that led to the Eastern Provinces.,16,314,"Translator's note; the pass is a real, verifiable site. Gate of the eastern corridor."
R11,E (Ōsaka–Ishiyama),Eastern route ordering,TEXTUAL_DIRECT,"...on the very day the Vice Governor was scheduled to reach the barrier gate at Ōsaka Pass on his way home, Genji was setting out on a pilgrimage to Ishiyama Temple near the southern end of Lake Biwa... When they reached the beach at Uchide on the southern shore of Lake Biwa, outrunners from Genji's procession came crowding in...",16,314,Both parties' itineraries interleave on one line; fixes station order east of the pass.
R12,E (Ōsaka–Ishiyama),Ishiyama Temple,TEXTUAL_DIRECT,...a pilgrimage to Ishiyama Temple near the southern end of Lake Biwa.,16,314,Real temple; eastern-corridor terminus for capital-based pilgrimage.
R13,E (Ōsaka–Ishiyama),The Ise Shrine (route),TEXTUAL_DIRECT,"Her reply, which she sent from the barrier gate at Ōsaka, did not reach him until the following day.",10,197,"The Ise-bound procession passes Ōsaka: Ise hangs off the EAST corridor's far end (not the Uji line), then far beyond the map edge."
R14,E×SE (inter-corridor),Ishiyama ↔ Uji,TEXTUAL_DIRECT,"Her mother was to come today and accompany her on a pilgrimage to the temple of Kannon at Ishiyama (Ch51, p.1049); Now that the trip to Ishiyama had been canceled, life at the Uji villa was extremely tedious (p.1054).",51,1049,Planned (canceled) pilgrimage attests a usable Uji–Ishiyama connection across corridors.
R15,SE (Uji–Hasedera),The Uji cluster (all 7 labels),TRANSLATOR_NOTE,"I live in my hermitage southeast of the capital, in a place that people in this world of woe call Ujiyama, mountain of sorrows (Kisen, Kokinshū 983; Ch45, p.829, translator's note; repeated Ch46, p.846).",45,829,"Direction from the Kisen allusion in Washburn's note; Uji itself is a real, verifiable place."
R16,SE (Uji–Hasedera),Capital→Uji route,TEXTUAL_DIRECT,"By the time they had passed the banks of the Kamo River and were in the vicinity of the Hōshōji Temple, it was daybreak (Ch50, p.1034); He traveled by carriage as far as Hōshōji Temple, then switched to a horse (Ch51, p.1044).",50,1034,"Hōshōji is a hard anchor: 'this temple... stood on the site now occupied by the Tōfukuji Temple' (Ch50, p.1034, translator's note). Carriage-to-horse switch marks where road becomes mountain path."
R17,SE (Uji–Hasedera),The Uji villa (the Eighth Prince's residence),TEXTUAL_DIRECT,"Because Hachinomiya's villa was on the near bank of the river, there was no need to arrange for a boat.",45,833,
R18,SE (Uji–Hasedera),The Minister's Uji estate (Yūgiri's),TEXTUAL_DIRECT,"...a handsome, expansive estate away from the capital on the far side of the Uji River.",46,847,Opposite bank from the Eighth Prince's villa; the Ch51 Tachibana hideaway is also far-bank.
R19,SE (Uji–Hasedera),The mountain temple above Uji (the ascetic's retreat),TEXTUAL_DIRECT,A saintly ascetic who was a master of esoteric Buddhism lived in the mountains at Uji...,45,829,
R20,SE (Uji–Hasedera),The ruined Suzaku villa (Ukifune's discovery site),TEXTUAL_DIRECT,"He then remembered that an old imperial villa formerly used by the late Emperor Suzaku was nearby, just north of the Uji River.",53,1121,"Washburn's note adds a traditional layer: 'This may be a reference to the real-life Emperor Suzaku (923–952), who used a villa near Uji' (p.1121) — TRADITIONAL, unverified."
R21,SE (Uji–Hasedera),Uji,TEXTUAL_DIRECT,"Niou's Hatsuse-pilgrimage party is lodged at the estate 'on the far side of the Uji River' (Ch46, p.847); the nuns, returning from Hatsuse, shelter at the villa 'just north of the Uji River' (Ch53, p.1121).",46,847,Two independent itineraries break the Hatsuse journey at Uji: Uji is the mid-line station of the SE corridor.
R22,SE (Uji–Hasedera),Hasedera (the Hatsuse Kannon temple),TEXTUAL_DIRECT,"...her party finally arrived at the town of Tsubaichi at the base of Mount Miwa, where Hasedera Temple was located. They arrived... on the fourth day of their journey.",22,414,Real temple; includes a travel-time distance (4 days on foot from Kujō). Party then ascends from Tsubaichi to the temple.
R23,SE (Uji–Hasedera),On the Uji River (boat to the Isle of Tachibana) / The house across the Uji River,TEXTUAL_DIRECT,"They boarded one of those small boats... As they were crossing the river... The oarsman drew up at the Isle of Tachibana (Ch51, p.1059); the house stood on a manor belonging to Tokikata's uncle, the Governor of Inaba (p.1059).",51,1059,The boat is a SEGMENT_POINT on the crossing; the hideaway is a far-bank station; 'Outside the Uji villa' (row 42) is a near-bank segment point.
R24,S (Yodo–Naniwa–Suma–Akashi),Exile route (capital→Suma),TEXTUAL_DIRECT,...at the landing at Fushimi he felt his chest tighten when he boarded the boat that would take him to Naniwa. From there he sailed the final thirty miles to Suma.,12,236,The map's only stated numeric distance: Naniwa–Suma ≈ thirty miles. Fushimi and Naniwa are real anchor nodes.
R25,S (Yodo–Naniwa–Suma–Akashi),On the journey to Suma (the ruined Ōe villa),TEXTUAL_DIRECT,"...he viewed the site of the Ōe villa on the banks of the Yodo River. Once used as a lodge for the Ise Priestess on her return to the capital, it was now in utter ruins...",12,236,Transient: point on the Yodo boat segment.
R26,S (Yodo–Naniwa–Suma–Akashi),Suma (Genji's villa in exile),TEXTUAL_INFERRED,"The Governor of Settsu Province had once been a close retainer, and out of feelings of loyalty he discreetly performed a variety of services for Genji.",12,237,Inference: Suma falls under the Settsu governor's writ (historically correct); flag as inferred.
R27,S (Yodo–Naniwa–Suma–Akashi),Akashi (all Akashi labels),TEXTUAL_DIRECT,"The bay at Akashi in Harima Province...' — also 'a spectacular residence at Akashi, built by the former Governor of Harima' (pp.85–86).",5,85,"Yoshikiyo's early description; Akashi is a real, verifiable place; residences on it are Tier 4 within the node."
R28,S (Yodo–Naniwa–Suma–Akashi),Suma ↔ Akashi,TEXTUAL_DIRECT,"The former Governor of Harima Province, a novitiate who has recently taken his vows, had this boat readied, and we journeyed here from the bay at Akashi.",13,257,The Priest's boat arrives at Suma directly on the storm's heels: adjacent stations on the coastal line.
R29,S (Yodo–Naniwa–Suma–Akashi),Return route (Akashi→capital),TEXTUAL_DIRECT,Genji arrived at Naniwa and underwent purification. He then sent a messenger to the Sumiyoshi Shrine with a promise to make a pilgrimage there...,13,277,Return itinerary re-attests Naniwa as the corridor's hub node.
R30,S (Yodo–Naniwa–Suma–Akashi),Sumiyoshi Shrine,TRANSLATOR_NOTE,"The shrine, which was in nearby Naniwa (present-day Osaka), was dedicated to the god of the sea and of poetry.",12,249,"Translator's note pinning Sumiyoshi beside the Naniwa node; real, verifiable shrine."
R31,S (Yodo–Naniwa–Suma–Akashi),"Naniwa micro-sites (the boat, the Horie canal, the inlet, Tamino Island)",TEXTUAL_DIRECT,...underwent an awe-inspiring Purification Ritual at the seven streams in Naniwa (p.292); the Horie channel-marker verse (p.292); the Tamino Island mulberry-bark cord (p.293).,14,292,All four Ch14 Naniwa labels cluster as points on the Naniwa water node.
R32,"S (maritime, far)",Kyūshū flight route,TEXTUAL_DIRECT,...their boat passed the beach in front of the Matsuura Shrine (p.411); They safely navigated the straits at Hibiki no Nada along the coast of Harima Province (p.412); ...nearing the mouth of the Yodo River at Kawajiri (p.412).,22,411,Extends the maritime line past Akashi's Harima coast to the Kyūshū terminus; Kawajiri = the sea-to-river interchange.
R33,S (Yodo–Naniwa–Suma–Akashi),Capital→Akashi (the nurse's journey),TEXTUAL_DIRECT,"The party traveled by boat as far as Settsu Province, then hurried on from there on horseback until they reached their destination.",14,284,Mode change marks the Settsu coast as the boat/land interchange on the Akashi run.
R34,S×W (inter-corridor),Akashi→Ōi move,TEXTUAL_DIRECT,"They had a favorable wind behind them and arrived at the Ōi villa on schedule. The party had not wanted to attract attention on the road from Naniwa, so they wore humble travel garb.",18,333,Connects the maritime corridor to the western corridor via a Naniwa–Ōi road.
R35,W (Sagano–Ōi–Katsura–Ōharano),The temporary shrine at Nonomiya,TEXTUAL_DIRECT,"Once he had set out to cross the broad plains of Sagano... (Ch10, p.192); the Second Lustration at a temporary shrine built for this purpose on the plains of Sagano (Ch9, p.171).",10,192,Sagano is the western corridor's named district.
R36,W (Sagano–Ōi–Katsura–Ōharano),The Ōi villa (the Akashi Lady's),TEXTUAL_DIRECT,"...a villa overlooking the banks of the Ōi River (Ch18, p.329); ...the autumn hills and plains around Ōi in Sagano (Ch21, p.402).",18,329,Ch21 places Ōi explicitly within Sagano — same district as Nonomiya.
R37,W (Sagano–Ōi–Katsura–Ōharano),Genji's Sagano meditation hall/temple,TEXTUAL_DIRECT,"The temple he had commissioned was just to the south of the Daikakuji Temple, and its main hall, which faced out onto a waterfall...",18,330,"Daikakuji is a hard anchor: 'The Daikakuji still exists in the western section of present-day Kyoto' (Ch18, p.330, translator's note). Reizei recalls the temple as 'his temple in Sagano' (Ch49, p.946)."
R38,W (Sagano–Ōi–Katsura–Ōharano),Genji's Katsura villa,TEXTUAL_DIRECT,"I hear you stay across the river near the moon (Reizei's letter to Genji at Katsura, Ch18, p.339); Using his visits to the nearby temple at Sagano or to the Katsura estate as a pretext, he would call on his Akashi lady (Ch19, p.348).",18,339,"Same-excursion access among Ōi, the Sagano temple, and Katsura fixes all three within one western sub-cluster."
R39,W (Sagano–Ōi–Katsura–Ōharano),Ōharano (the imperial excursion),TEXTUAL_DIRECT,Emperor Reizei decided to go on an excursion to the shrine at Ōharano in the suburbs west of the capital.,29,490,Real shrine; the in-city leg (Suzaku Ave → Gojō Ave → Katsura River) is capital-grid claim C33.
R40,W (Sagano–Ōi–Katsura–Ōharano),Suzaku's mountain temple (his retreat),TEXTUAL_DIRECT,The construction of the temple that would serve as his retreat in the hills west of the capital was now complete...,34,566,"Western hills, unanchored more precisely; keep as a west-line terminus."
