Location,LocationDescription
A woman's house at Nakagawa,"A woman's house at Nakagawa : A small dwelling in a grove of trees by the Nakagawa, the home of a woman Genji had once visited; he overhears her koto in the rustic Azuma mode. Genji pauses in his carriage at the gate and sends Koremitsu in with a poem (Washburn NC p. 223)."
Akashi (Genji's departure for the capital),Akashi (Genji's departure for the capital) ; The Akashi Lady's villa (foot of the hills) : on the departure morning Genji sends a poem to the Lady at her villa (Washburn NC p. 275).
Akashi (the Akashi Lady's residence),"Akashi (the Akashi Lady's residence) ; Nijō (Genji's villa) : the Akashi Lady's reply, sent back with Genji's returning messenger (Washburn NC p. 285)."
Akashi (the Akashi Priest's seaside residence),"Akashi (the Akashi Priest's seaside residence) ; The Rokujō estate (Genji's mansion) : the novitiate's farewell letter, revealing his long-ago dream-vision before he vanishes into the mountains (Washburn NC p. 605)."
An Untenanted Mansion,"An Untenanted Mansion : A deserted riverside villa near the capital to which Genji spirits Yūgao on the night of their elopement — overgrown and gloomy, its pond choked with weeds, tenanted only by a steward and a distant storehouse-dweller (Washburn NC pp. 66–68). Genji's party is lodged in the west hall (Washburn NC p. 67). Traditionally identified with the Kawara no in (Washburn NC p. 66 n.). Yūgao dies here."
"At sea, en route to Kyūshū (off Ōshima)","At sea, en route to Kyūshū (off Ōshima) : aboard ship to Kyūshū, the nurse's elder daughter laments the boatman's song (Washburn NC p. 406)."
"At sea, fleeing Kyūshū for the capital","At sea, fleeing Kyūshū for the capital : passing Matsuura as they flee, Ateki grieves the parting from her sister (Washburn NC p. 411)."
En route from Uji to the capital (Naka no Kimi's move),"En route from Uji to the capital (Naka no Kimi's move) : on the mountain road by the seventh-day moon, Naka no Kimi muses that the moon, despairing of a home, must return to the hills (Washburn NC p. 933)."
En route from the Rokujō estate (the shared carriage),"En route from the Rokujō estate (the shared carriage) : riding home together, Kashiwagi hints at the Third Princess in his warbler-and-cherry verse (Washburn NC p. 618)."
En route from the Sanjō residence to Nijō (dawn),"En route from the Sanjō residence to Nijō (dawn) : grieving the loss of Kumoi no Kari, Yūgiri frames a verse on his frosty dawn ride home (Washburn NC pp. 391–392)."
En route to Uji (Kaoru bringing Ukifune),"En route to Uji (Kaoru bringing Ukifune) : in the carriage, seeing the futaai colors of their sleeves, Kaoru murmurs that he looks on them as mementos of her, dew-drenched and heavy with sorrow (Washburn NC p. 1034)."
En route to Uji (Kaoru's night journey),"En route to Uji (Kaoru's night journey) : riding to Uji before dawn through wind and fog, the soaked Kaoru muses that his own tears fall more strangely than the dew (Washburn NC p. 833)."
Fujitsubo's family residence on Sanjō,"Fujitsubo's family residence on Sanjō : Fujitsubo's family (natal) residence on Sanjō, to which she withdraws after the Retired Emperor's death (the same Sanjō villa of Chapter 7). Here Genji forces his way to her, here she holds the Rite of the Eight Lectures and takes Buddhist vows, and here she lives as a nun in a new west-hall meditation hall (Washburn NC pp. 204–216). The prefill labels it ""Fujitsubo's Residence (at Sanjō).""  Nijō (Genji's villa) : Genji's own residence on Nijō Avenue; Murasaki lives in the west hall. The Ise procession passes it on leaving the capital (Washburn NC pp. 196, 207). ""His villa at Nijō."""
Fujitsubo's palace residence (the Higyōsha),"Fujitsubo's palace residence (the Higyōsha) : Fujitsubo's pavilion at the imperial palace — the Higyōsha, nicknamed the Fujitsubo for the wisteria (fuji) in its courtyard, where she was installed on entering the palace (Washburn NC pp. 15–16). Her residence at court before she withdraws to Sanjō.  The Kiritsubo : Genji's residential pavilion in the imperial palace — formally the Shigeisha (淑景舎), popularly the Kiritsubo (桐壺), his late mother's former hall. ""When Genji stayed at the palace, he took up residence in the Kiritsubo"" (Washburn NC p. 19). ""His quarters at the palace"" is treated as direct evidence of the Kiritsubo."
Fujitsubo's residence,"Fujitsubo's residence : The home to which Fujitsubo, ill, has withdrawn from the palace (Washburn NC pp. 99–100); attended there by her women Ōmyōbu and Ben, it is the setting of the secret tryst Ōmyōbu arranges between her and Genji. Unnamed in the text."
Fujitsubo's villa on Sanjō Avenue,"Fujitsubo's villa on Sanjō Avenue : Fujitsubo's private residence, to which she withdraws from court around the time of the autumn procession and where she gives birth to her son (Washburn NC pp. 136, 141). Distinct from the Minister of the Left's Sanjō residence (the home of Genji's wife, Aoi).  Nijō (Genji's villa) : Genji's own residence on Nijō Avenue — the rebuilt villa of his mother, with an enlarged garden pond (Washburn NC p. 19). Murasaki is now installed in a wing here, and pinks bloom in the front garden (Washburn NC pp. 136–137, 143)."
Gen no Naishi's chambers at the palace,"Gen no Naishi's chambers at the palace : The quarters of Gen no Naishi (Naishi no suke) within the palace, near the Unmeiden, the hall that houses the sacred mirror. Genji hears her biwa from outside on a rainy night, and Tō no Chūjō stages his sword-and-cloak prank here (Washburn NC pp. 148–150).  The Kiritsubo : Genji's residential pavilion in the imperial palace — formally the Shigeisha (淑景舎), popularly the Kiritsubo (桐壺), his late mother's former hall. ""When Genji stayed at the palace, he took up residence in the Kiritsubo"" (Washburn NC p. 19). ""His quarters at the palace"" is treated as direct evidence of the Kiritsubo."
Genji's Katsura villa,Genji's Katsura villa ; The palace (Emperor Reizei's residence) : Genji composes his reply at Katsura and sends it back to the palace (Washburn NC p. 339).
Governor of Kii's Mansion,"Governor of Kii's Mansion : The residence of Kii no Kami, son of the Iyo Deputy, where Genji lodges for a directional taboo (Washburn NC p. 42). It is laid out around a main hall with an east pavilion (the women's quarters) joined by a passageway; a stream dammed from the Nakagawa flows south between Genji's lodging and the main hall, with a garden to the south (Washburn NC pp. 38, 43). Utsusemi and the household women lodge on the east side, sleeping off the east and north verandas (Washburn NC pp. 40, 48, 51–53); the Governor's sister comes ""from the west hall"" to play Go (Washburn NC p. 49).  Receipt location indeterminate — see Flag."
Hanachirusato's villa (the scattering orange blossoms),"Hanachirusato's villa (the scattering orange blossoms) : on Genji's rainy-season visit, Hanachirusato composes the Water Rail poem in his presence (Washburn NC p. 288)."
Hasedera (the Hatsuse Kannon temple),"Hasedera (the Hatsuse Kannon temple) : overlooking the Hatsuse River during their devotions, Ukon marvels at the reunion (Washburn NC p. 419)."
Higekuro's residence,"Higekuro's residence : leaving her home, Higekuro's daughter writes a farewell to the cypress pillar and thrusts it into a crack in the wood (Washburn NC p. 523)."
Home of Genji's Grandmother,"Home of Genji's Grandmother : The residence of the late Kiritsubo Consort's mother, where the orphaned Genji is being raised. In mourning it has fallen into neglect — Myōbu finds a ""desolate abode"" with an overgrown, dew-soaked garden loud with crickets (Washburn NC p. 10).  Seiryōden : The Emperor's everyday residential hall in the palace (""his private chambers in the Seiryōden,"" Washburn NC p. 12). Ceremonies are held facing east under its eastern eaves, opening onto the east garden — as at Genji's coming-of-age (Washburn NC pp. 16, 18) — and a long bridge connects it southward to the Shishinden, the Ceremonial Court (Washburn NC p. 18). The Kōrōden and an intervening garden lie to its west (Washburn NC pp. 5, 11); the Kokiden Consort's quarters adjoin it on the north side (Washburn NC p. 12)."
Home of the Bishop of Kitayama,"Home of the Bishop of Kitayama : The mountain residence of the Bishop of Kitayama in the Northern Hills, where his sister — a nun, Murasaki's grandmother — has secluded herself with the young Murasaki and her nurse Shōnagon (Washburn NC pp. 90–91). The nun's devotional room, where she keeps her image of Amida, faces west; Genji is lodged in the room ""facing south at the front of the house"" (Washburn NC pp. 87, 90). Its cultivated garden has a cool stream lit by cressets, with a waterfall nearby swollen by the spring runoff (Washburn NC pp. 90–91).  The Minister of the Left's residence : The Sanjō estate of Genji's father-in-law, the Minister of the Left, where Genji's principal wife (Aoi) lives — ""the estate of her father, the Minister of the Left"" (Washburn NC p. 20). On returning from Kitayama, Genji goes there at the Minister's urging to ""spend a leisurely day or two"" (Washburn NC pp. 97–98)."
Home of the Warden's Lady,"Home of the Warden's Lady (composition, receipt): An unnamed house with a moonlit garden, pond, open veranda and bamboo blinds — home of the accomplished koto-playing woman of the Warden's second anecdote (Washburn NC p. 31). No proper name is given.  The Kiritsubo (recitation): Genji's residential pavilion in the imperial palace — formally the Shigeisha (淑景舎), popularly the Kiritsubo (桐壺): one of the smaller halls of the women's quarters (kōkyū), nicknamed for the paulownia (kiri) planted in its courtyard, and his late mother's former hall. ""When Genji stayed at the palace, he took up residence in the Kiritsubo"" (Washburn NC p. 19); the Hahakigi ""rainy night ranking"" unfolds here (Washburn NC pp. 19–21), and after Yūgao's death he returns to ""his quarters at the palace"" here (Washburn NC p. 77). ""His quarters at the palace"" is treated as direct evidence of the Kiritsubo."
House of the Finger Biting Lady,"House of the Finger Biting Lady (composition, receipt): An unnamed dwelling — the home the Warden shared with his jealous first wife, recalled in his rainy-night anecdote. The text supplies no proper name; the setting is purely domestic (Washburn NC pp. 28–30).  The Kiritsubo (recitation): Genji's residential pavilion in the imperial palace — formally the Shigeisha (淑景舎), popularly the Kiritsubo (桐壺): one of the smaller halls of the women's quarters (kōkyū), nicknamed for the paulownia (kiri) planted in its courtyard, and his late mother's former hall. ""When Genji stayed at the palace, he took up residence in the Kiritsubo"" (Washburn NC p. 19); the Hahakigi ""rainy night ranking"" unfolds here (Washburn NC pp. 19–21), and after Yūgao's death he returns to ""his quarters at the palace"" here (Washburn NC p. 77). ""His quarters at the palace"" is treated as direct evidence of the Kiritsubo."
"Kaoru's Sanjō residence (the Third Princess's, rebuilt)","Kaoru's Sanjō residence (the Third Princess's, rebuilt) ; The Uji villa (the Eighth Prince's residence) : having discovered the affair, Kaoru reproaches her — he thought she waited like the pines of Suenomatsu, unaware waves had broken over it (Washburn NC p. 1073)."
Koremitsu's Mother's House on Gojō,"Koremitsu's Mother's House on Gojō : The Gojō residence of Genji's old wet-nurse — Koremitsu's mother — now a nun in failing health; Yūgao's house adjoins it on the west (Washburn NC p. 58). Visiting her, Genji examines the fan by torchlight and first notices the evening faces blooming next door (Washburn NC pp. 55–58).  Yūgao's House on Gojō : A modest house on Gojō Avenue, on the west side of Genji's old nurse's home (Washburn NC p. 58); white yūgao flowers bloom along its fence, and its residence hall has a half-shuttered enclosure on the south side (Washburn NC pp. 56, 59). The ""evening faces"" lady (Yūgao) had quietly moved in around the fifth month, having fled threats from Tō no Chūjō's wife's family (Washburn NC p. 79)."
Koremitsu's residence,Koremitsu's residence : Yūgiri sends the dancer a letter by her brother the page (Washburn NC pp. 395–396).
Kōbai's residence,"Kōbai's residence ; The palace : Kōbai breaks off a red-plum branch and, likening Niou to a warbler, sends it to lure the Prince toward his second daughter (Washburn NC p. 796)."
Lady Rokujō's mansion,"Lady Rokujō's mansion : The dignified villa of the high-born lady Genji is secretly courting, on the eastern edge of the capital on Rokujō Avenue (Washburn NC p. 55); its groves and autumn gardens are admired (Washburn NC pp. 58–61), and the lady's reserved, melancholy bearing is emphasized (Washburn NC p. 61)."
Lady Rokujō's residence (Rokujō),"Lady Rokujō's residence (Rokujō) : Lady Rokujō's own mansion on Rokujō Avenue, at the eastern edge of the capital (cf. Chapter 4) — her residence apart from the temporary lustration sites and the healing-rites retreat (Washburn NC p. 178).  The Minister of the Left's residence (Sanjō) : The Sanjō residence of the Minister of the Left, Genji's father-in-law, and home of Genji's wife (traditionally called Aoi). Here the spirit possession and her death occur, and here Genji keeps the forty-nine days of mourning in his own quarters (Washburn NC pp. 171–191). The prefill labels it ""The Sanjō Residence."" Distinct from Fujitsubo's villa on Sanjō Avenue (Chapter 7)."
Naniwa (Tamino Island),"Naniwa (Tamino Island) ; Naniwa (the inlet) : the Lady's reply from her purification at Tamino Island, reaching Genji at the inlet at sunset (Washburn NC p. 293)."
Naniwa (the Akashi Lady's boat),"Naniwa (the Akashi Lady's boat) : the channel-markers poem, written at the Horie canal and delivered to the Lady's boat (Washburn NC p. 292)."
Naniwa (the Horie canal),"Naniwa (the Horie canal) ; Naniwa (the Akashi Lady's boat) : the channel-markers poem, written at the Horie canal and delivered to the Lady's boat (Washburn NC p. 292)."
Naniwa (the inlet),"Naniwa (the inlet) : the Lady's reply from her purification at Tamino Island, reaching Genji at the inlet at sunset (Washburn NC p. 293)."
Nijō (Genji's villa),"Nijō (Genji's villa) : Genji's own residence on Nijō Avenue — the rebuilt and expanded former villa of his mother, with an enlarged garden pond (Washburn NC p. 19); referred to as ""his villa at Nijō"" (Washburn NC p. 53). He is carried back here, gravely ill, after Yūgao's death (Washburn NC p. 77).  Governor of Kii's Mansion : The residence of Kii no Kami, son of the Iyo Deputy, where Genji lodges for a directional taboo (Washburn NC p. 42). It is laid out around a main hall with an east pavilion (the women's quarters) joined by a passageway; a stream dammed from the Nakagawa flows south between Genji's lodging and the main hall, with a garden to the south (Washburn NC pp. 38, 43). Utsusemi and the household women lodge on the east side, sleeping off the east and north verandas (Washburn NC pp. 40, 48, 51–53); the Governor's sister comes ""from the west hall"" to play Go (Washburn NC p. 49)."
Nokiba no Ogi's marital home,"Nokiba no Ogi's marital home : The residence of the Lesser Captain of the Palace Guard to whom Nokiba no Ogi (Utsusemi's stepdaughter) is now married; unnamed in the text. Genji's page shows her his secret letter there ""when her husband was out"" (Washburn NC p. 81).  The Kiritsubo : Genji's residential pavilion in the imperial palace — formally the Shigeisha (淑景舎), popularly the Kiritsubo (桐壺): one of the smaller halls of the women's quarters (kōkyū), nicknamed for the paulownia (kiri) planted in its courtyard, and his late mother's former hall. ""When Genji stayed at the palace, he took up residence in the Kiritsubo"" (Washburn NC p. 19); the Hahakigi ""rainy night ranking"" unfolds here (Washburn NC pp. 19–21), and after Yūgao's death he returns to ""his quarters at the palace"" here (Washburn NC p. 77). ""His quarters at the palace"" is treated as direct evidence of the Kiritsubo."
On the Uji River (the boat to the Isle of Tachibana),"On the Uji River (the boat to the Isle of Tachibana) : Ukifune answers — the trees' color may not fade, but unknown is the destination of a boat cast adrift; the title poem (Washburn NC p. 1059)."
"On the journey to Suma (the ruined Ōe villa, Yodo River)","On the journey to Suma (the ruined Ōe villa, Yodo River) : A stop on the sea-and-river journey to Suma — the ruined site of the Ōe villa on the banks of the Yodo, once a lodge for the returning Ise Priestess, now marked only by pines (Washburn NC pp. 236–237)."
Outside the Uji villa (Niou's failed night visit),"Outside the Uji villa (Niou's failed night visit) : turned away in the night, Niou departs not knowing where to discard his weary life, weeping through cloud-shrouded mountains (Washburn NC p. 1081)."
Princess Asagao's residence,"Princess Asagao's residence : The residence of Princess Asagao (the ""morning glory"" lady), a cousin whom Genji has long courted only in chaste correspondence; her ladies-in-waiting read his letter to her (Washburn NC p. 181).  The Minister of the Left's residence (Sanjō) : The Sanjō residence of the Minister of the Left, Genji's father-in-law, and home of Genji's wife (traditionally called Aoi). Here the spirit possession and her death occur, and here Genji keeps the forty-nine days of mourning in his own quarters (Washburn NC pp. 171–191). The prefill labels it ""The Sanjō Residence."" Distinct from Fujitsubo's villa on Sanjō Avenue (Chapter 7)."
Seiryōden,"Seiryōden : The Emperor's everyday residential hall in the palace (""his private chambers in the Seiryōden,"" Washburn NC p. 12). Ceremonies are held facing east under its eastern eaves, opening onto the east garden — as at Genji's coming-of-age (Washburn NC pp. 16, 18) — and a long bridge connects it southward to the Shishinden, the Ceremonial Court (Washburn NC p. 18). The Kōrōden and an intervening garden lie to its west (Washburn NC pp. 5, 11); the Kokiden Consort's quarters adjoin it on the north side (Washburn NC p. 12).  Home of Genji's Grandmother : The residence of the late Kiritsubo Consort's mother, where the orphaned Genji is being raised. In mourning it has fallen into neglect — Myōbu finds a ""desolate abode"" with an overgrown, dew-soaked garden loud with crickets (Washburn NC p. 10)."
Suma (Genji's villa in exile),"Suma (Genji's villa in exile) : Suma — the desolate shore where Genji lives in self-imposed exile, in a villa on an isolated hill a short way in from the sea, near where Ariwara no Yukihira once grieved; he ""managed to arrive at Suma"" and settles there (Washburn NC pp. 236–237, 253).  The Gosechi dancer's barge (passing Suma) : The barge of the Assistant Governor General of Kyūshū's party, returning to the capital by sea; his daughter — the former Gosechi dancer — sends Genji a note as the boat is ""towed past Suma"" (Washburn NC pp. 245–246)."
Sumiyoshi Shrine,Sumiyoshi Shrine : on the Sumiyoshi pilgrimage Genji secretly sends the nun a note recalling their shared Akashi past (Washburn NC p. 628).
Suzaku's mountain temple (his retreat),Suzaku's mountain temple (his retreat) ; The Rokujō estate (Genji's mansion) : from his mountain temple Suzaku sends bamboo shoots and a poem urging his nun daughter toward enlightenment (Washburn NC p. 697).
Tamakazura's residence,"Tamakazura's residence ; The Sanjō residence (Princess Ōmiya's) (receipt, inferred): the reply gently mocks the Lesser Captain for loving the blossoms, not the lady (Washburn NC p. 813)."
The Akashi Lady's villa (foot of the hills),The Akashi Lady's villa (foot of the hills) ; The Akashi villa (Genji's seaside residence) : the novitiate writes the reply for his silent daughter at her villa; Genji reads it at his seaside residence (Washburn NC pp. 265–266).
The Akashi villa (Genji's seaside residence),"The Akashi villa (Genji's seaside residence) ; The Akashi Lady's villa (foot of the hills) : Genji's first courtship letter, sent from his seaside residence to the Lady's villa at the base of the hill (Washburn NC p. 265)."
The Chinese Scholar's Daughter's House,"The Chinese Scholar's Daughter's House (composition, receipt): The home of the learned woman of the Junior Secretary's anecdote — a daughter of the scholar at whose academy he studied Chinese (Washburn NC p. 35). The house itself is unnamed.  The Kiritsubo (recitation): Genji's residential pavilion in the imperial palace — formally the Shigeisha (淑景舎), popularly the Kiritsubo (桐壺): one of the smaller halls of the women's quarters (kōkyū), nicknamed for the paulownia (kiri) planted in its courtyard, and his late mother's former hall. ""When Genji stayed at the palace, he took up residence in the Kiritsubo"" (Washburn NC p. 19); the Hahakigi ""rainy night ranking"" unfolds here (Washburn NC pp. 19–21), and after Yūgao's death he returns to ""his quarters at the palace"" here (Washburn NC p. 77). ""His quarters at the palace"" is treated as direct evidence of the Kiritsubo."
The Crown Prince's quarters at the palace,"The Crown Prince's quarters at the palace : The Crown Prince's quarters at the palace, where Ōmyōbu serves; Genji's farewell note on a cherry branch reaches the young Crown Prince (the future Reizei Emperor) through her, and her reply is sent back from there (Washburn NC pp. 234–235).  Nijō (Genji's villa) : Genji's own residence on Nijō Avenue, where Murasaki remains while he is in exile; named ""his Nijō villa"" (Washburn NC pp. 231, 234). The prefill labels it ""Nijō Palace."""
The Fujitsubo (the Second Princess's palace quarters),"The Fujitsubo (the Second Princess's palace quarters) : at the wisteria banquet, fetching blooms for the Emperor's cap, Kaoru jests his sleeve caught on a branch as far above him as the Emperor's daughter (Washburn NC p. 989)."
The Gosechi dancer's barge (passing Suma),"The Gosechi dancer's barge (passing Suma) : The barge of the Assistant Governor General of Kyūshū's party, returning to the capital by sea; his daughter — the former Gosechi dancer — sends Genji a note as the boat is ""towed past Suma"" (Washburn NC pp. 245–246).  Suma (Genji's villa in exile) : Suma — the desolate shore where Genji lives in self-imposed exile, in a villa on an isolated hill a short way in from the sea, near where Ariwara no Yukihira once grieved; he ""managed to arrive at Suma"" and settles there (Washburn NC pp. 236–237, 253)."
The Hitachi villa,"The Hitachi villa : The dilapidated residence of the late Prince Hitachi, where his orphaned daughter — the ""Safflower Princess"" (Suetsumuhana) — lives in genteel poverty with a few aged attendants; the text calls it ""the Hitachi villa"" (Washburn NC pp. 113–116). The garden is overgrown and the middle gate warped and near collapse (Washburn NC p. 127); the Princess keeps to the main hall with her seven-string koto behind tattered curtains, and Genji first listens from a gap in the broken fence nearby (Washburn NC pp. 115–116, 124).  The Kiritsubo : Genji's residential pavilion in the imperial palace — formally the Shigeisha (淑景舎), popularly the Kiritsubo (桐壺): one of the smaller halls of the women's quarters (kōkyū), nicknamed for the paulownia (kiri) planted in its courtyard, and his late mother's former hall. ""When Genji stayed at the palace, he took up residence in the Kiritsubo"" (Washburn NC p. 19); the Hahakigi ""rainy night ranking"" unfolds here (Washburn NC pp. 19–21), and after Yūgao's death he returns to ""his quarters at the palace"" here (Washburn NC p. 77). ""His quarters at the palace"" is treated as direct evidence of the Kiritsubo."
The Hitachi villa (Suetsumuhana's ruined estate),"The Hitachi villa (Suetsumuhana's ruined estate) : having dreamt of her late father, Suetsumuhana composes inwardly as rain leaks through the eaves of her decayed villa (Washburn NC p. 308)."
The Ichijō villa (the Second Princess's residence),"The Ichijō villa (the Second Princess's residence) : by the intertwined oak and maple, Yūgiri hints at growing closer to the widowed Second Princess (Washburn NC p. 694)."
The Ise Shrine,"The Ise Shrine : The Ise Shrine, where Lady Rokujō lives with her daughter Akikonomu, ""remaining here among the deities at this Shinto shrine""; she and Genji exchange letters across the distance (Washburn NC pp. 239–241).  Suma (Genji's villa in exile) : Suma — the desolate shore where Genji lives in self-imposed exile, in a villa on an isolated hill a short way in from the sea, near where Ariwara no Yukihira once grieved; he ""managed to arrive at Suma"" and settles there (Washburn NC pp. 236–237, 253)."
The Ise departure procession (passing Genji's Nijō villa),The Ise departure procession (passing Genji's Nijō villa) : Akikonomu's departure procession for Ise as it turns onto Tōin and passes Genji's Nijō villa after dark; Rokujō rides in it (Washburn NC p. 196).
The Kamo Festival (the viewing ground),"The Kamo Festival (the viewing ground) : The viewing ground for the Kamo Festival proper, near the parade grounds where the Mounted Guard hold their annual archery competition; Genji and Murasaki watch from their carriage, drawn up beside Gen no Naishi's (Washburn NC pp. 167–168)."
