Location,LocationDescription
The Kamo Festival procession,The Kamo Festival procession ; receipt indeterminate: her quick rebuff — he of all people should know the katsura leaves (Washburn NC pp. 558–559).
The Kamo Shrine,"The Kamo Shrine : The Kamo Shrine, where Princess Asagao now serves as High Priestess; her attendant Chūjō conveys Genji's letters to and from her (Washburn NC pp. 207–208).  The Urin'in Temple (north of the capital) : The Urin'in, a temple north of the capital where Genji's maternal uncle is secluded as a master priest; Genji goes on retreat there, studying Tendai scripture, and writes to Murasaki and to Asagao (Washburn NC pp. 206–208)."
The Kamo Shrine (Tadasu Woods),"The Kamo Shrine (Tadasu Woods) : The Kamo Shrine, where Genji halts to pray to the gods of the Tadasu Woods for vindication before going into exile (Washburn NC p. 234)."
The Kiritsubo,"The Kiritsubo : Genji's residential pavilion in the imperial palace — formally the Shigeisha (淑景舎), popularly the Kiritsubo (桐壺): one of the smaller halls of the women's quarters (kōkyū), nicknamed for the paulownia (kiri) planted in its courtyard, and his late mother's former hall. ""When Genji stayed at the palace, he took up residence in the Kiritsubo"" (Washburn NC p. 19); the Hahakigi ""rainy night ranking"" unfolds here (Washburn NC pp. 19–21), and after Yūgao's death he returns to ""his quarters at the palace"" here (Washburn NC p. 77). ""His quarters at the palace"" is treated as direct evidence of the Kiritsubo.  The Hitachi villa : The dilapidated residence of the late Prince Hitachi, where his orphaned daughter — the ""Safflower Princess"" (Suetsumuhana) — lives in genteel poverty with a few aged attendants; the text calls it ""the Hitachi villa"" (Washburn NC pp. 113–116). The garden is overgrown and the middle gate warped and near collapse (Washburn NC p. 127); the Princess keeps to the main hall with her seven-string koto behind tattered curtains, and Genji first listens from a gap in the broken fence nearby (Washburn NC pp. 115–116, 124)."
The Kokiden,"The Kokiden : The Kokiden Consort's pavilion at the palace. Deserted after the banquet — the Consort having retired to the Seiryōden — its interior door stands open; reaching it by the passageway past Ōmyōbu's room, Genji encounters Oborozukiyo and carries her out to the passageway (Washburn NC pp. 154–155)."
The Kokiden Consort's quarters,The Kokiden Consort's quarters : at a music gathering the lady from Ōmi pushes forward and openly propositions Yūgiri in verse (Washburn NC p. 536).
The Kujō lodging (Tamakazura's residence in the capital),The Kujō lodging (Tamakazura's residence in the capital) ; The Rokujō estate (Genji's mansion) : the young lady's guarded reply (Washburn NC p. 423).
The Kōrōden,"The Kōrōden : A residential hall in the palace immediately west of the Seiryōden, across an intervening garden (Washburn NC pp. 5, 11); the Emperor had the Kiritsubo Consort ""installed in the chambers of the Kōrōden,"" displacing its previous occupant so she could be lodged near him (Washburn NC p. 5)."
The Late Major Counselor's residence,"The Late Major Counselor's residence : The capital residence of the late Major Counselor — a dilapidated, tree-shaded house where his widow (the nun, Murasaki's grandmother) lives and dies, and where the young Murasaki remains afterward (Washburn NC pp. 101–102, 106). Genji is received on the veranda under the eaves on the south side (Washburn NC p. 102)."
The Minister of the Left's residence,"The Minister of the Left's residence : The Sanjō estate of Genji's father-in-law, the Minister of the Left, where Genji's principal wife (Aoi) lives — ""the estate of her father, the Minister of the Left"" (Washburn NC p. 20). Tō no Chūjō, the Minister's son, also keeps ""dazzlingly furnished quarters at his father's residence at Sanjō"" (Washburn NC p. 20).  Governor of Kii's Mansion : The residence of Kii no Kami, son of the Iyo Deputy, where Genji lodges for a directional taboo (Washburn NC p. 42). It is laid out around a main hall with an east pavilion (the women's quarters) joined by a passageway; a stream dammed from the Nakagawa flows south between Genji's lodging and the main hall, with a garden to the south (Washburn NC pp. 38, 43). Utsusemi and the household women lodge on the east side, sleeping off the east and north verandas (Washburn NC pp. 40, 48, 51–53); the Governor's sister comes ""from the west hall"" to play Go (Washburn NC p. 49)."
The Minister of the Left's residence (Sanjō),"The Minister of the Left's residence (Sanjō) : The Sanjō residence of the Minister of the Left, Genji's father-in-law, and home of Genji's wife (traditionally called Aoi). Here the spirit possession and her death occur, and here Genji keeps the forty-nine days of mourning in his own quarters (Washburn NC pp. 171–191). The prefill labels it ""The Sanjō Residence."" Distinct from Fujitsubo's villa on Sanjō Avenue (Chapter 7).  The site of Lady Rokujō's healing rites : A place away from her usual Rokujō residence to which Lady Rokujō withdrew for esoteric Buddhist healing rites, so as not to defile her daughter, who was preparing to serve at Ise; the text does not name it (Washburn NC p. 169)."
The Minister of the Right's residence,"The Minister of the Right's residence : The lavishly renovated villa of the Minister of the Right — father of the Kokiden Consort and of Oborozukiyo — site of an archery tournament and a wisteria banquet and of his granddaughters' coming-of-age rites (Washburn NC pp. 158–159). The wisteria blooms on the east side of the main hall; Genji sits at the hall's southeastern corner doors (Washburn NC pp. 159–160).  The palace : The imperial palace generally. Genji is at the palace when the Minister of the Right's messenger arrives, ""and so he showed it to his father"" (Washburn NC p. 159)."
"The Minister's Uji estate (Yūgiri's, across the river)","The Minister's Uji estate (Yūgiri's, across the river) ; The Uji villa (the Eighth Prince's residence) : Niou breaks off a cherry branch and sends it with this verse to the Eighth Prince's daughters (Washburn NC p. 849)."
The Momozono estate (Princess Asagao's residence),The Momozono estate (Princess Asagao's residence) ; The Rokujō estate (Genji's mansion) : Asagao sends her blended winter and spring incenses with a plum-branch verse (Washburn NC pp. 538–539).
The Ono villa (the mountain retreat near Mt. Hiei),The Ono villa (the mountain retreat near Mt. Hiei) ; The Sanjō residence (Princess Ōmiya's) : the dying mother's veiled rebuke — the maidenflower where he lodged one night (Washburn NC p. 729).
The Palace,"The Palace : The imperial palace generally. On the night Fujitsubo formally enters as Empress, Genji — serving as a Consultant — rides in her retinue as her palanquin is borne into the palace, away from him (Washburn NC pp. 152–153)."
The Reikeiden Consort's villa,"The Reikeiden Consort's villa : The quiet, nearly deserted villa of the former Reikeiden Consort — a childless consort of the late Retired Emperor whom Genji discreetly supports. Mandarin orange blossoms scatter beneath the eaves; the Consort keeps her own quarters, and her younger sister, Hanachirusato, resides on the west side of the main hall (Washburn NC pp. 222–225)."
The Reikeiden Consort's villa (Hanachirusato's quarters),"The Reikeiden Consort's villa (Hanachirusato's quarters) : The Reikeiden Consort's villa (the villa of scattering orange blossoms), where Genji's lady Hanachirusato resides on the west side of the main hall (Washburn NC pp. 231, 241).  Suma (Genji's villa in exile) : Suma — the desolate shore where Genji lives in self-imposed exile, in a villa on an isolated hill a short way in from the sea, near where Ariwara no Yukihira once grieved; he ""managed to arrive at Suma"" and settles there (Washburn NC pp. 236–237, 253)."
The Reizei villa (Retired Emperor Reizei's residence),"The Reizei villa (Retired Emperor Reizei's residence) ; The Uji villa (the Eighth Prince's residence) : Retired Emperor Reizei reaches out, his view of the Uji mountains veiled by eightfold clouds (Washburn NC p. 831)."
The Retired Emperor's palace (Suzaku's residence),"The Retired Emperor's palace (Suzaku's residence) ; The Umetsubo (Akikonomu's chambers, the plum courtyard) : Suzaku attaches the poem to a comb box among the gifts he sends Akikonomu on the day she enters Reizei's service; the gifts arrive at her chambers with Genji present (Washburn NC p. 317)."
The Retired Emperor's tomb (hills north of the capital),"The Retired Emperor's tomb (hills north of the capital) : The Retired Emperor's tomb in the hills north of the capital, which Genji visits by night to take leave of his late father; a vision of his father's face appears to him (Washburn NC p. 234)."
The Rokujō estate (Genji's mansion),"The Rokujō estate (Genji's mansion) (composition, recitation; inferred); The Uji villa (the Eighth Prince's residence) : with the carriage and yin-yang master he sends for the lustration, Kaoru's verse on her charcoal robes giving way to spring (Washburn NC p. 928)."
The Rokujō estate (the First Princess's quarters),"The Rokujō estate (the First Princess's quarters) ; Kaoru's Sanjō residence (the Third Princess's, rebuilt) (receipt; inferred): sensing Kaoru's grief, Kosaishō writes that, knowing her place, she dares not speak but fades away in deference (Washburn NC pp. 1104–1105)."
The Rokujō villa (Lady Rokujō's residence),"The Rokujō villa (Lady Rokujō's residence) ; Nijō (Genji's villa) : Akikonomu's reply in her own hand, assessed by Genji at Nijō (Washburn NC p. 296)."
The Sanjō residence (Princess Ōmiya's),The Sanjō residence (Princess Ōmiya's) ; The Ono villa (the mountain retreat near Mt. Hiei) : Yūgiri's morning letter pressing the Second Princess to 'wake' from grief (Washburn NC p. 741).
The Secret Love's residence,"The Secret Love's residence : The residence of a woman Genji had been visiting in utmost secrecy, passed on his way home at dawn — perhaps the lady near Rokujō and Kyōgoku noted earlier (Washburn NC pp. 100–101), though the text does not say. His escort recites a verse at her gate and her servant answers from within (Washburn NC p. 107). Unnamed in the text."
The Seiryōden (the Emperor's residential palace),"The Seiryōden (the Emperor's residential palace) : The Emperor's private living quarters within the palace. Here Gen no Naishi (the Assistant Handmaid) dresses His Majesty's hair; when he withdraws to change his robes, Genji is left alone with her (Washburn NC p. 146)."
The Shishinden (the cherry-blossom banquet),"The Shishinden (the cherry-blossom banquet) : The great ceremonial hall of the palace. The Emperor sponsors a cherry-blossom banquet in its south courtyard, seating Empress Fujitsubo to his right and the Crown Prince to his left under screens; Genji dances the section of ""Spring Warbler"" (Washburn NC pp. 153–154)."
The Suzaku Palace (Retired Emperor Suzaku's residence),"The Suzaku Palace (Retired Emperor Suzaku's residence) ; The Umetsubo (Akikonomu's chambers, the plum courtyard) : Suzaku's reply, praying the Princess may inherit the Empress's good fortune (Washburn NC p. 576)."
The Uji villa (the Eighth Prince's residence),"The Uji villa (the Eighth Prince's residence) : on his memorial trip, Kaoru attaches to a pillar a verse — his tears fall into the stream and vanish like his lost love's reflection; reported at Ono by the Governor of Kii (Washburn NC p. 1161)."
"The Umetsubo (Akikonomu's chambers, the plum courtyard)","The Umetsubo (Akikonomu's chambers, the plum courtyard) ; The Retired Emperor's palace (Suzaku's residence) : Akikonomu attaches her reply to a piece of her old Parting-Ceremony comb and sends it; Suzaku reads it, deeply moved (Washburn NC p. 324)."
The Urin'in Temple (north of the capital),"The Urin'in Temple (north of the capital) : The Urin'in, a temple north of the capital where Genji's maternal uncle is secluded as a master priest; Genji goes on retreat there, studying Tendai scripture, and writes to Murasaki and to Asagao (Washburn NC pp. 206–208).  Nijō (Genji's villa) : Genji's own residence on Nijō Avenue; Murasaki lives in the west hall. The Ise procession passes it on leaving the capital (Washburn NC pp. 196, 207). ""His villa at Nijō."""
The Vice Governor of Hitachi's residence,"The Vice Governor of Hitachi's residence ; The small house near Sanjō (Ukifune's hideaway) : the mother answers — even as she seeks a refuge for her, she longs to see her in full flower (Washburn NC p. 1028)."
The barrier gate at Ōsaka (Ōsaka no seki),"The barrier gate at Ōsaka (Ōsaka no seki) : The barrier gate at Ōsaka, east of the capital, from which Lady Rokujō, rushed and flustered, sends her reply as the Ise party crosses out of the capital (Washburn NC p. 196).  Nijō (Genji's villa) : Genji's own residence on Nijō Avenue; Murasaki lives in the west hall. The Ise procession passes it on leaving the capital (Washburn NC pp. 196, 207). ""His villa at Nijō."""
The boat departing Akashi,"The boat departing Akashi : as the boat sets sail from Akashi, the weeping nun composes her verse aboard (Washburn NC pp. 332–333)."
The capital (the Middle Captain's residence),"The capital (the Middle Captain's residence) (composition, recitation; inferred); The nuns' residence at Ono : the morning after the koto evening, the Middle Captain writes that the shared music is a painful memory, and Ukifune's coldness moves him to tears (Washburn NC p. 1143)."
The former Hitachi Deputy's residence (in the capital),"The former Hitachi Deputy's residence (in the capital) : some days after the barrier meeting Genji sends Utsusemi a letter, which her brother carries to her (Washburn NC pp. 315–316)."
The house across the Uji River (the Tachibana hideaway),"The house across the Uji River (the Tachibana hideaway) : at the river hideaway, Niou scribbles that he never lost his bearings on the path his heart follows in longing (Washburn NC p. 1060)."
The household in Hizen Province (Tamakazura's Kyūshū home),"The household in Hizen Province (Tamakazura's Kyūshū home) : as he leaves, the boorish suitor Taifu no Gen vows fidelity in a clumsy half-poem (Washburn NC p. 409)."
The late Retired Emperor's villa,"The late Retired Emperor's villa : The villa of the late Retired Emperor, where his consorts remain until the forty-ninth-day rites. As Fujitsubo prepares to move back to her family residence, Genji, Prince Hyōbu and Ōmyōbu exchange verses there before a snow-laden five-needle pine and the frozen garden pond (Washburn NC pp. 198–199)."
The lustration procession (the carriage quarrel),"The lustration procession (the carriage quarrel) : The roadside along Ichijō Avenue during the procession for the new High Priestess's Purification Ritual (misogi). Here the retainers of Genji's wife shove Lady Rokujō's carriages to the rear in the notorious ""carriage quarrel,"" breaking her shafts and propping them on strangers' wheel-hubs, and Genji passes coldly without acknowledging her (Washburn NC pp. 163–164)."
The mountain temple above Uji (the ascetic's retreat),"The mountain temple above Uji (the ascetic's retreat) ; The Uji villa (the Eighth Prince's residence) : from his mountain retreat the ascetic sends Naka no Kimi the first spring greens, that her father's custom 'may ne'er be forgotten' (Washburn NC p. 925)."
The nuns' residence at Ono,"The nuns' residence at Ono ; The capital (the Middle Captain's residence) (receipt; inferred): Ukifune answers — though her heart leaves this world's shore, the destination of the nun's drifting bark is unknown (Washburn NC p. 1153)."
The nurse's residence (a ruined estate in the capital),The nurse's residence (a ruined estate in the capital) : Genji visits the prospective nurse in secret at her dilapidated capital residence and recites the verse in person (Washburn NC pp. 283–284).
The palace,"The palace ; Kōbai's residence : Niou's deflecting reply — were he one to be lured by plum scent, he'd not let mere reports drift by (Washburn NC p. 797)."
The palace (Emperor Reizei's residence),"The palace (Emperor Reizei's residence) ; Genji's Katsura villa : from the palace Reizei sends Genji a verse, learning he is at Katsura; it reaches Genji at the villa (Washburn NC p. 339)."
The palace (Fujitsubo's withdrawal),"The palace (Fujitsubo's withdrawal) : The imperial palace on the night Fujitsubo withdraws after a farewell visit to the Crown Prince; Genji is in attendance, close by, and they exchange verses through Ōmyōbu (Washburn NC p. 211)."
The palace (Genji's audience with Suzaku),"The palace (Genji's audience with Suzaku) : summoned to the palace, Genji responds to Suzaku with a poem during their late-night conversation (Washburn NC p. 278)."
The palace (Niou's confinement),"The palace (Niou's confinement) (composition, recitation, inferred); The Uji villa (the Eighth Prince's residence) : a long winter-night letter — why should these rains deepen his yearning (Washburn NC p. 911)."
The palace (Oborozukiyo's quarters),"The palace (Oborozukiyo's quarters) : Oborozukiyo's quarters at the palace (near the Kokiden), whence she sends Genji a letter as the winter rains approach (Washburn NC pp. 211–212); the text does not state her exact whereabouts when she writes.  Nijō (Genji's villa) : Genji's own residence on Nijō Avenue; Murasaki lives in the west hall. The Ise procession passes it on leaving the capital (Washburn NC pp. 196, 207). ""His villa at Nijō."""
The palace (Tamakazura's Shōkyōden quarters),"The palace (Tamakazura's Shōkyōden quarters) : during the otokotōka, Prince Sochinomiya sends Tamakazura a jealous note within the palace (Washburn NC pp. 528–529)."
The palace (the Ceremony of Parting),"The palace (the Ceremony of Parting) : The imperial palace on the day of the Ceremony of Parting, when Emperor Suzaku sets the Comb of Parting in Akikonomu's hair as she departs for Ise; her mother, Lady Rokujō, recalls coming here once as a bride (Washburn NC p. 196)."
The palace (the First Princess's chambers),"The palace (the First Princess's chambers) : visiting his sister and dwelling on a Tales-of-Ise illustration, Niou murmurs a verse of veiled longing (Washburn NC p. 908)."
The palace (the Gosechi Festival),"The palace (the Gosechi Festival) ; receipt indeterminate: at the Gosechi Festival, Genji writes nostalgically to his Gosechi lady of years past (Washburn NC p. 394)."
The palace (the ladies' picture debate before Fujitsubo),"The palace (the ladies' picture debate before Fujitsubo) : in the Left-vs-Right debate Fujitsubo has arranged, Heinaishi argues the Umetsubo side's case for the Tales of Ise (Washburn NC p. 322)."
The palace (the passageway near the Kokiden),"The palace (the passageway near the Kokiden) : The narrow passageway at the palace near the Kokiden, where Genji and Oborozukiyo first met; Chūnagon arranges their dawn tryst here during Suzaku's abstinence (Washburn NC pp. 201–202)."
The road at Akashi (en route to the Lady's villa),"The road at Akashi (en route to the Lady's villa) : riding to the Lady's villa, gazing at the moonlit shore, Genji composes inwardly (Washburn NC p. 269)."
The road by the Lower Kamo Shrine,"The road by the Lower Kamo Shrine : The road by the Lower Kamo Shrine, passed on Genji's night pilgrimage before departure; the Lesser Captain, ruined by his loyalty to Genji, recalls the Kamo Festival of four years before (Washburn NC p. 233)."
The shore at Suma (the purification site),"The shore at Suma (the purification site) : The shore at Suma, where on the Day of the Serpent Genji performs a ritual purification — a diviner transfers his defilements to a doll set adrift on the waves — just before the great storm breaks (Washburn NC p. 252)."
The site of Lady Rokujō's healing rites,"The site of Lady Rokujō's healing rites : A place away from her usual Rokujō residence to which Lady Rokujō withdrew for esoteric Buddhist healing rites, so as not to defile her daughter, who was preparing to serve at Ise; the text does not name it (Washburn NC p. 169).  The Minister of the Left's residence (Sanjō) : The Sanjō residence of the Minister of the Left, Genji's father-in-law, and home of Genji's wife (traditionally called Aoi). Here the spirit possession and her death occur, and here Genji keeps the forty-nine days of mourning in his own quarters (Washburn NC pp. 171–191). The prefill labels it ""The Sanjō Residence."" Distinct from Fujitsubo's villa on Sanjō Avenue (Chapter 7)."
The small house near Sanjō (Ukifune's hideaway),"The small house near Sanjō (Ukifune's hideaway) ; The Vice Governor of Hitachi's residence : Ukifune answers her mother's letter — could she but think the place a refuge not of this world, she would know joy (Washburn NC p. 1028)."
The temporary shrine at Nonomiya (the plains of Sagano),"The temporary shrine at Nonomiya (the plains of Sagano) : The compound of the temporary shrine on the plains of Sagano, where Akikonomu undergoes purification before departing for Ise; a brushwood enclosure with an unbarked-log torii and plank-roofed huts. Genji visits Lady Rokujō here and sits at her blind on the north side of the main hall (Washburn NC pp. 192–194).  Nijō (Genji's villa) : Genji's own residence on Nijō Avenue; Murasaki lives in the west hall. The Ise procession passes it on leaving the capital (Washburn NC pp. 196, 207). ""His villa at Nijō."""
The Ōi villa (the Akashi Lady's residence near Katsura),"The Ōi villa (the Akashi Lady's residence near Katsura) : as she carries the child to the waiting carriages, the Akashi Lady gives up her daughter in verse (Washburn NC p. 345)."
The Ōsaka Barrier (the gatehouse at Ōsaka Pass),"The Ōsaka Barrier (the gatehouse at Ōsaka Pass) : in her carriage at the barrier, receiving Genji's message, Utsusemi composes inwardly (Washburn NC pp. 314–315)."
Tō no Chūjō's billet at the palace,"Tō no Chūjō's billet at the palace : Tō no Chūjō's on-duty quarters as an officer of the Palace Guard, ""where he had been waiting to go on duty"" the morning after the prank (Washburn NC p. 151).  The Kiritsubo : Genji's residential pavilion in the imperial palace — formally the Shigeisha (淑景舎), popularly the Kiritsubo (桐壺), his late mother's former hall. ""When Genji stayed at the palace, he took up residence in the Kiritsubo"" (Washburn NC p. 19). ""His quarters at the palace"" is treated as direct evidence of the Kiritsubo."
Tō no Chūjō's residence,"Tō no Chūjō's residence : The venue of the banquet Tō no Chūjō sponsored two days after the rhyme-guessing contest at Genji's villa, at which the losing side fêted the winners; the text names Tō no Chūjō as host but does not state the place (Washburn NC pp. 218–219)."
Uji (Niou's maple-viewing excursion),Uji (Niou's maple-viewing excursion) : on the maple-viewing excursion the Consultant Captain recalls the spring cherries and the loneliness now settling over the barren tree (Washburn NC p. 904).
Yūgao's House on Gojō,"Yūgao's House on Gojō : A modest house on Gojō Avenue, on the west side of Genji's old nurse's home (Washburn NC p. 58); white yūgao flowers bloom along its fence, and its residence hall has a half-shuttered enclosure on the south side (Washburn NC pp. 56, 59). The ""evening faces"" lady (Yūgao) had quietly moved in around the fifth month, having fled threats from Tō no Chūjō's wife's family (Washburn NC p. 79).  Koremitsu's Mother's House on Gojō : The Gojō residence of Genji's old wet-nurse — Koremitsu's mother — now a nun in failing health; Yūgao's house adjoins it on the west (Washburn NC p. 58). Visiting her, Genji examines the fan by torchlight and first notices the evening faces blooming next door (Washburn NC pp. 55–58)."
Yūgao's Original House,"Yūgao's Original House : The ""dilapidated house"" of the wild-pink woman (later identified with Yūgao) in Tō no Chūjō's anecdote, its garden overgrown and dew-laden and loud with bell crickets (Washburn NC p. 33). Unnamed in the text; labeled ""Original"" to distinguish it from her later dwellings.  The Kiritsubo (recitation): Genji's residential pavilion in the imperial palace — formally the Shigeisha (淑景舎), popularly the Kiritsubo (桐壺): one of the smaller halls of the women's quarters (kōkyū), nicknamed for the paulownia (kiri) planted in its courtyard, and his late mother's former hall. ""When Genji stayed at the palace, he took up residence in the Kiritsubo"" (Washburn NC p. 19); the Hahakigi ""rainy night ranking"" unfolds here (Washburn NC pp. 19–21), and after Yūgao's death he returns to ""his quarters at the palace"" here (Washburn NC p. 77). ""His quarters at the palace"" is treated as direct evidence of the Kiritsubo.  The Minister of the Left's residence : The Sanjō estate of Genji's father-in-law, the Minister of the Left, where Genji's principal wife (Aoi) lives — ""the estate of her father, the Minister of the Left"" (Washburn NC p. 20). Tō no Chūjō, the Minister's son, also keeps ""dazzlingly furnished quarters at his father's residence at Sanjō"" (Washburn NC p. 20)."
Ōharano (the imperial excursion),Ōharano (the imperial excursion) ; The Rokujō estate (Genji's mansion) : from the Ōharano hunt the Emperor sends Genji a brace of pheasants and a poem (Washburn NC pp. 491–492).
